,user_name,game_name,title,viewer_count,started_at,api_call_time
38,curvyelephant,Grand Theft Auto V,Undersheriff Matt Rhodes | NoPixel 3.0 | !discord,4397,2021-05-22 09:44:59,2021-05-22T15:06:07.937450
39,kooratv1,,,4306,2021-05-22 14:14:32,2021-05-22T15:06:07.937450
40,Im_Dontai,Knockout City,Lounge 6 Knockout City - CHILL VIBES!! Good Morning!,4245,2021-05-22 14:57:50,2021-05-22T15:06:07.937450
41,Bawkbasoup,Resident Evil Village,Village of Shadows Speedruns ||  !social !merch,4180,2021-05-22 09:25:52,2021-05-22T15:06:07.937450
42,LexVeldhuis,Poker,FINAL TABLE $109 KO🏆$3k 1st🏆 +  Movie Night after,4112,2021-05-22 08:47:19,2021-05-22T15:06:07.937450
43,SmiteGame,SMITE,Casuals with BlazyBard,3918,2021-05-22 12:11:30,2021-05-22T15:06:07.937450
44,GernaderJake,Destiny 2,!Trials Carries then VAULT OF GLASS RACE // !Prime Sub,3865,2021-05-22 13:58:03,2021-05-22T15:06:07.937450
45,Leopard,Destiny 2,wf !vog at reset // !solo GMs,3774,2021-05-22 11:43:12,2021-05-22T15:06:07.937450
46,Serral,StarCraft II,Queue simulator (GONE CRAZY),3717,2021-05-22 12:25:14,2021-05-22T15:06:07.937450
47,Naowh,World of Warcraft,THE GREAT PUSH QUALIFIERS <Echo> !Leaderboard !ELX !tanks +28 Necrotic Wake on !Youtube,3711,2021-05-22 09:53:20,2021-05-22T15:06:07.937450
48,stretch,Fortnite,EU Watch Party w/ Bugha - Zyfa - EmadGG,3659,2021-05-22 13:04:33,2021-05-22T15:06:07.937450
49,crokeyz,Magic: The Gathering,Arena Draft Challenge: Day 1.,3460,2021-05-22 09:59:18,2021-05-22T15:06:07.937450
50,ParadoxInteractive,Special Events,The Art of Victoria 3 | PDXCON Remixed |,3442,2021-05-21 05:34:28,2021-05-22T15:06:07.937450
51,Lobanjicaa,Counter-Strike: Global Offensive,FPL WORLD #1 PLAYER LIVE -> !FPL | KNIFE GIVEAWAY EVERY 100 SUBS | !gamdom !hellcase !shadowpay !vlog ,3404,2021-05-22 13:01:34,2021-05-22T15:06:07.937450
52,Zizaran,Path of Exile,Okay actually might do new build today Jebaited | !3.14 !Displate !Youtube | !nexus Merch shop.zizaran.com,3152,2021-05-22 11:13:48,2021-05-22T15:06:07.937450
53,ClassyBeef,Slots,🔥OPENING 53 BONUSES! 🔥 !520K WIN for WORLD RECORD! | $50.000 !Tournament | !Stake for best Casino,3130,2021-05-22 07:00:58,2021-05-22T15:06:07.937450
54,NRG_JZR,Rocket League,Pulse x Thrustmaster FS League - Week 6 !code !players,3026,2021-05-22 13:37:56,2021-05-22T15:06:07.937450
55,Dendi,Dota 2,no death challenge !discord !розыгрыш !giveaway,2969,2021-05-22 13:40:48,2021-05-22T15:06:07.937450
56,DeuceAce,Slots,🌰 €815.000 Split Nations with RuuUu 🌰 check - !BEE for 150% ✨ !PAR for 150% ✨ !SHA for 150%,2769,2021-05-22 14:25:54,2021-05-22T15:06:07.937450
57,GMHikaru,Chess,Saturday Chess  | !upcoming !polymarket,2625,2021-05-22 14:48:53,2021-05-22T15:06:07.937450
58,TrU3Ta1ent,Dead by Daylight,Killer / Survivor rotation your builds! Come chill in one of the best community's on twitch <3,2518,2021-05-22 12:27:22,2021-05-22T15:06:07.937450
59,TwoSync,FIFA 21,NO PAIN NO GAIN FUT CHAMPS !sneak !teabags !topup,2517,2021-05-22 14:30:46,2021-05-22T15:06:07.937450
60,GingiTV,World of Warcraft,Gingi <Echo> GREAT PUSH TOURNEY! !greatpush !ESN !fitness,2411,2021-05-22 09:57:16,2021-05-22T15:06:07.937450
61,Saiiren,Grand Theft Auto V,AI MUSORI / BETCH / EGG | NoPixel 3.0 | !nordvpn,2359,2021-05-22 12:08:33,2021-05-22T15:06:07.937450
62,DanucD,PLAYERUNKNOWN'S BATTLEGROUNDS,TSM_DanucD | Follow @DanucD on Socials | !spotify - Copyright Free Music,2284,2021-05-22 09:59:41,2021-05-22T15:06:07.937450
63,JokerdTV,World of Warcraft,ARCANE MAGE PVE - TBC 70 Race PREP - 500 Gold/Hour - Naxx KT Cleanup later <Method>,2256,2021-05-22 10:39:26,2021-05-22T15:06:07.937450
